,pos,name,cat1,cat2,x,y,url,id
133,1.133,Schützenverein Moers-Asberg 1901 e.V.,"['--ALLE--', 'Sportvereine']",Schießsport,51.44468,6.66584,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/D00B40BF7A8767BBC125724900488C91,133
134,1.134,Schützenverein Moers-Hülsdonk 1906 e.V.,"['--ALLE--', 'Sportvereine']",Schießsport,51.4502918,6.6092225,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/B1E653E3955B7CBAC125724900488C92,134
135,1.135,Schützenverein Moers-Vinn 1903 e.V.,"['--ALLE--', 'Sportvereine']","['Gymnastik', 'Schießsport']",51.4389732,6.6299301,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/561F7EF7694728CFC125724900488C93,135
136,1.136,Schwafheimer Frauenchor 1946 e.V.,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.4260789,6.6636945,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/4BF2D29D6ACFCF23C125724900488C54,136
137,1.137,SG Vitality Moers 2004 e. V.,"['--ALLE--', 'Sportvereine']","['Gesundheitssport', 'Gymnastik', 'Nordic-Walking', 'Pilates', 'Rückenschulung', 'Step-Aerobic']",51.47316,6.62329,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/F2701B0B1FA68F26C125734E00418899,137
138,1.138,"SLaM und Friends Moers (Schwule, Lesben und Freunde aus Moers)","['--ALLE--', 'Sonstige Vereine']",,51.4482953,6.6081876,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/87284F4EDB6D6E54C125724900488CB6,138
139,1.139,Sozialverband VdK Nordrhein-Westfalen e.V,"['--ALLE--', 'Sonstige Vereine']",,51.4347863,6.5990692,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/3D584BE2A8D583ACC12577DC003CB53A,139
140,1.140,Sparkassenkulturstiftung Moers,"['--ALLE--', 'Kulturvereine']",Sonstige Kulturvereine,51.4518,6.6305,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/9BEA98A332C24430C125724900488C35,140
141,1.141,Spielmanns- und Gardemusikzug Blau-Weiss Moers-Asberg 1923 e.V.,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.4391116,6.6573,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/72B23FFA26F0DDB0C125724900488CD2,141
142,1.142,Sport-Club Rheinkamp 1922/1962 e.V.,"['--ALLE--', 'Sportvereine']","['Eltern-Kind-Turnen', 'Fußball', 'Schießsport', 'Turnen']",51.45604,6.62432,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/32850D1177B04306C125724900488C95,142
143,1.143,Sport-Gemeinschaft Moers 1983 e.V.,"['--ALLE--', 'Sportvereine']","['Aerobic', 'Gesundheitssport', 'Gymnastik', 'Seniorensport', 'Tischtennis', 'Turnen', 'Walking']",51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/340AF9AE5444E825C125724900488C94,143
144,1.144,Sportgemeinschaft Finanzamt Moers 1974 e.V.,"['--ALLE--', 'Sportvereine']","['Fußball', 'Volleyball', 'Tischtennis', 'Leichtathletik']",51.4100074,6.5970509,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/96FB5814B61D8AABC125724900488C96,144
145,1.145,Sportgemeinschaft Jugenddorf Niederrhein 1960,"['--ALLE--', 'Sportvereine']","['Schwimmen', 'Fußball', 'Wasserwandersport', 'Tischtennis', 'Handball']",51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/A156D4FF50EFF877C125724900488C97,145
146,1.146,Sportkeglerverein 1983 Kapellen e.V.,"['--ALLE--', 'Sportvereine']",Sportkegeln,51.4177649,6.5929695,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/D756C335397C5224C125724900488C98,146
147,1.147,SRC am Niederrhein e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.45519,6.6204684,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/3228625AC48B2F19C12574E5002AEFCA,147
148,1.148,Stiftung Industriedenkmalpflege und Geschichtskultur,"['--ALLE--', 'Kulturvereine']",Geschichte,51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/C5B4895ABA807ED6C125724900488C3C,148
149,1.149,SV Scherpenberg 1921 e.V.,"['--ALLE--', 'Sportvereine']","['Fußball', 'Gymnastik', 'Tennis']",51.44773,6.66483,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/D04BB824545A3FC3C125724900488C99,149
150,1.150,SV Schwafheim 1932 e.V.,"['--ALLE--', 'Sportvereine']",Fußball,51.4231643,6.6598434,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/E4C301EB90FD6A16C125724900488C9A,150
151,1.151,Taktzente (Junger Chor St. Josef Moers),"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.4457489,6.6651008,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/46875806C521683DC125724900488C55,151
152,1.152,Tanedi-Kunst e.V.,"['--ALLE--', 'Kulturvereine']",Kunst,51.4465153,6.6488429,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/A9E33DACD19B08BBC125724900488C33,152
153,1.153,TC Sportpark Moers-Asberg 1968 e.V.,"['--ALLE--', 'Sportvereine']","['Beach-Volleyball', 'Boule', 'Darten', 'Skat', 'Tanzen', 'Tennis']",51.4379516,6.657312,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/6F90C33F0BB32975C125724900488C9D,153
154,1.154,"TC ""Blau-Weiß"" Moers 1983 e.V.","['--ALLE--', 'Sportvereine']",Tennis,51.4384016,6.621411,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/C7FA2DDEBE9F8BE1C125724900488C9B,154
156,1.156,Tennis-Club Moers 1908 e.V.,"['--ALLE--', 'Sportvereine']",Tennis,51.43817,6.62305,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/E37571486B183299C125724900488C9E,156
157,1.157,THW-Helfervereinigung Moers e.V.,"['--ALLE--', 'Kulturvereine']",Sonstige Kulturvereine,51.44916,6.66372,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/ED536EC85C6072B9C125724900488CD4,157
158,1.158,Tierschutzverein Moers und Umgebung e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.4421441,6.5948777,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/E44C4C780AA6CD92C125724900488CB7,158
159,1.159,"Tischtennisverein ""Die Falken"" Rheinkamp 1959 e.V.","['--ALLE--', 'Sportvereine']",Tischtennis,51.44833,6.5659,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/348E38BE04D32EC9C125724900488C9F,159
160,1.160,"TTV ""Falken"" Moers e.V.","['--ALLE--', 'Sportvereine']",Tischtennis,51.4477004,6.6557171,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/72AF2788052E8F91C125724900488CA0,160
161,1.161,"Turnier-Tanz-Club ""Schwarz-Gold"" Moers 1959 e.V.","['--ALLE--', 'Sportvereine']",Tanzen,51.4245092,6.6510148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/F0A2C4F7F16E7968C125724900488CA1,161
162,1.162,Turnverein Utfort-Eick 1981 e.V.,"['--ALLE--', 'Sportvereine']","['Aerobic', 'Eltern-Kind-Turnen', 'Faustball', 'Gesundheitssport', 'Gymnastik', 'Laufen', 'Seniorensport', 'Trampolin', 'Turnen', 'Volleyball', 'Walking']",51.4868433,6.638872,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/5FD12C6EA94D80DAC125724900488CA2,162
163,1.163,Turnverein Vennikel 1912 e.V.,"['--ALLE--', 'Sportvereine']","['Gymnastik', 'Handball', 'Leichtathletik', 'Segeln', 'Surfen', 'Tennis', 'Tischtennis', 'Turnen']",51.39833,6.61895,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/67BC986981685380C125724900488CA3,163
164,1.164,TV Asberg 1897 e.V.,"['--ALLE--', 'Sportvereine']","['Faustball', 'Fußball', 'Handball', 'Kung Fu', 'Mutter-Kind-Turnen', 'Tai-Chi', 'Turnen']",51.4399362,6.6565622,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/5AEFE2CAE26C800DC125724900488CA4,164
165,1.165,TV Kapellen 1919 e.V.,"['--ALLE--', 'Sportvereine']","['Asiatische Kampfkunst', 'Breitensport', 'Chinesische und asiatische Kampfkünste', 'Handball', 'Kampfkunst', 'Kinderturnen', 'Kung Fu', 'Nordic-Walking', 'Schwimmen', 'Ski und Wandern', 'Sportabzeichen', 'Turnen', 'Volleyball', 'Wushu']",51.41045,6.60075,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/D63C7A3EE9BD668FC125724900488CA5,165
