,pos,name,cat1,cat2,x,y,url,id
31,6.6,SC Rheinkamp e.V.,Schießsportanlagen,,51.4800293,6.6356036,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/4E98B19321A75085C1257249004FC90E,31
33,6.8,SV Asberg 01 / Polizeisportschützen e.V.,Schießsportanlagen,,51.44468,6.66584,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/3D1388BBB975B2BEC1257249004FC911,33
34,6.9,Zentrale Schießsportanlage Kapellen,Schießsportanlagen,,51.4150969,6.5973692,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/DFB32D99CB5A6433C1257249004FC912,34
36,7.1,Fritz-Peters Sportplatz Kapellen,Sportplätze,,51.41069,6.60759,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/F878756F7153BFA1C1257249004FC913,36
37,7.2,Georg-Dargatz-Sportstätte,Sportplätze,,51.4458211,6.6193298,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/34D076532B62E162C1257249004FC914,37
39,7.4,Grafschafter Kampfbahn,Sportplätze,,51.44629,6.62091,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/6D16407FDBCD7E88C1257249004FC916,39
40,7.5,Rheinpreußenstadion,Sportplätze,,51.4635907,6.6475853,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/C455C5A754550E1BC1257249004FC917,40
41,7.6,Sportplatz Altdorfer Straße,Sportplätze,,51.4231643,6.6598434,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/39637F424C9BAA61C1257249004FC918,41
42,7.7,Sportplatz Asberger Straße,Sportplätze,,51.4432775,6.6519331,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/8D100ACA8C47AB72C1257249004FC919,42
43,7.8,Sportplatz Berufsbildungszentrum,Sportplätze,,51.45957,6.62426,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/E0903A33E1445578C1257249004FC91A,43
44,7.9,Sportplatz Eichendorffschule,Sportplätze,,51.4601358,6.6639635,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/B13778F77E1CB607C1257249004FC91B,44
