,name,stadt,stoff,einheit,jahr_2014,jahr_2015,typ,gebiet,x,y,id,ueberschritten,change
34,Duisburg Kardinal-Galen-Straße,Duisburg,Stickstoffdioxid,µg/m³,36.7491,37.3436,Verkehr,städtisches Gebiet,6.771801,51.437708,34,False,0.5945000000000036
91,Krefeld Kölner Straße 209,Krefeld,Stickstoffdioxid,µg/m³,40.9222,37.2832,Verkehr,städtisches Gebiet,6.574775,51.317847,91,False,-3.638999999999996
93,Duisburg Friedrich-Ebert-Straße 30,Duisburg,Stickstoffdioxid,µg/m³,39.4348,36.3496,Verkehr,städtisches Gebiet,6.711915,51.411535,93,False,-3.0852000000000004
98,Dinslaken Hans-Böckler-Straße 9,Dinslaken,Stickstoffdioxid,µg/m³,37.6751,35.5719,Verkehr,städtisches Gebiet,6.741891,51.562254,98,False,-2.103200000000001
12,Essen-Ost Steeler Straße,Essen,Stickstoffdioxid,µg/m³,37.141,35.5559,Verkehr,städtisches Gebiet,7.030603,51.451177,12,False,-1.585099999999997
82,Gevelsberg Hagener Straße,Gevelsberg,Stickstoffdioxid,µg/m³,,35.5119,Verkehr,städtisches Gebiet,7.344286,51.320635,82,False,
144,Lüdenscheid Lennestraße,Lüdenscheid,Stickstoffdioxid,µg/m³,,35.1079,Verkehr,städtisches Gebiet,7.643095,51.227609,144,False,
74,Erwitte Soester Straße 9A,Erwitte,Stickstoffdioxid,µg/m³,39.3602,35.0641,Verkehr,städtisches Gebiet,8.334714,51.611676,74,False,-4.296099999999996
140,Gelsenkirchen Grothusstraße,Gelsenkirchen,Stickstoffdioxid,µg/m³,39.1644,35.0087,Verkehr,städtisches Gebiet,7.060337,51.524281,140,False,-4.155700000000003
89,Köln-Junkersdorf Statthalterhofweg 70,Köln,Stickstoffdioxid,µg/m³,38.0401,34.9115,Verkehr,städtisches Gebiet,6.857614,50.931615,89,False,-3.128600000000006
113,Dinslaken Wilhelm-Lantermann-Straße 33,Dinslaken,Stickstoffdioxid,µg/m³,39.0054,34.7779,Verkehr,städtisches Gebiet,6.740467,51.564642,113,False,-4.227499999999999
94,Hagen Enneper Straße,Hagen,Stickstoffdioxid,µg/m³,35.7397,34.7712,Verkehr,städtisches Gebiet,7.395867,51.339466,94,False,-0.9684999999999988
128,Duisburg-Bruckhausen,Duisburg,Stickstoffdioxid,µg/m³,36.7769,34.4506,Industrie,städtisches Gebiet,6.735431,51.485492,128,False,-2.3262999999999963
87,Essen-Schuir (LANUV),Essen,Stickstoffdioxid,µg/m³,30.5108,33.4138,Hintergrund,vorstädtisches Gebiet,6.965643,51.406968,87,False,2.9030000000000022
124,Kamen Bahnhofstraße 21,Kamen,Stickstoffdioxid,µg/m³,36.4709,33.2874,Verkehr,städtisches Gebiet,7.662739,51.588658,124,False,-3.183500000000002
125,Meerbusch Meerbuscher Straße,Meerbusch,Stickstoffdioxid,µg/m³,37.2613,32.3418,Verkehr,städtisches Gebiet,6.641622,51.267083,125,False,-4.919499999999999
95,Mönchengladbach Friedrich-Ebert-Straße,Mönchengladbach,Stickstoffdioxid,µg/m³,35.9242,32.0481,Verkehr,städtisches Gebiet,6.439975,51.169437,95,False,-3.876100000000001
148,Düsseldorf Norfer Straße,Düsseldorf,Stickstoffdioxid,µg/m³,,31.8203,Hintergrund,städtisches Gebiet,6.761111,51.200306,148,False,
16,Köln-Rodenkirchen,Köln,Stickstoffdioxid,µg/m³,29.5293,31.2326,Hintergrund,vorstädtisches Gebiet,6.985164,50.889814,16,False,1.7033000000000023
88,Essen-Schuir (LANUV),Essen,Stickstoffdioxid,µg/m³,29.9486,30.7621,Hintergrund,vorstädtisches Gebiet,6.965643,51.406968,88,False,0.8135000000000012
67,Bielefeld Detmolder Straße,Bielefeld,Stickstoffdioxid,µg/m³,,30.6908,Verkehr,städtisches Gebiet,8.552804,52.005624,67,False,
17,Bonn-Auerberg,Bonn,Stickstoffdioxid,µg/m³,27.9723,29.8923,Hintergrund,vorstädtisches Gebiet,7.082676,50.75364,17,False,1.9199999999999982
25,Leverkusen-Manfort,Leverkusen,Stickstoffdioxid,µg/m³,28.4579,29.2568,Hintergrund,vorstädtisches Gebiet,7.005063,51.028879,25,False,0.7988999999999997
52,Essen In der Baumschule,Essen,Stickstoffdioxid,µg/m³,29.6742,28.5319,Hintergrund,städtisches Gebiet,7.005478,51.478487,52,False,-1.1422999999999988
37,Krefeld (Hafen),Krefeld,Stickstoffdioxid,µg/m³,31.3943,28.4979,Industrie,vorstädtisches Gebiet,6.670195,51.342561,37,False,-2.8964
6,Essen-Vogelheim,Essen,Stickstoffdioxid,µg/m³,27.6463,26.5589,Hintergrund,städtisches Gebiet,6.981045,51.496527,6,False,-1.0873999999999988
2,Dortmund-Eving,Dortmund,Stickstoffdioxid,µg/m³,27.6639,26.5309,Hintergrund,städtisches Gebiet,7.457463,51.536911,2,False,-1.1330000000000027
5,Gelsenkirchen-Bismarck,Gelsenkirchen,Stickstoffdioxid,µg/m³,26.9385,26.4505,Hintergrund,vorstädtisches Gebiet,7.101786,51.533646,5,False,-0.48799999999999955
4,Bottrop-Welheim,Bottrop,Stickstoffdioxid,µg/m³,27.3434,26.3245,Industrie,städtisches Gebiet,6.976908,51.525963,4,False,-1.0188999999999986
11,Mülheim-Styrum,Mülheim,Stickstoffdioxid,µg/m³,27.4895,26.0017,Hintergrund,städtisches Gebiet,6.865107,51.45346,11,False,-1.4878
9,Duisburg-Walsum,Duisburg,Stickstoffdioxid,µg/m³,26.1492,25.9033,Industrie,städtisches Gebiet,6.748402,51.524022,9,False,-0.2458999999999989
24,Ratingen-Tiefenbroich,Ratingen,Stickstoffdioxid,µg/m³,25.806,25.8344,Hintergrund,vorstädtisches Gebiet,6.819967,51.303919,24,False,0.02839999999999776
10,Duisburg-Walsum,Duisburg,Stickstoffdioxid,µg/m³,28.1678,25.4978,Industrie,städtisches Gebiet,6.748402,51.524022,10,False,-2.669999999999998
23,Düsseldorf-Lörick,Düsseldorf,Stickstoffdioxid,µg/m³,27.1433,25.2821,Hintergrund,städtisches Gebiet,6.732383,51.249211,23,False,-1.8612000000000002
43,Hagen Wehringhauser Straße,Hagen,Stickstoffdioxid,µg/m³,34.5788,25.2484,Verkehr,städtisches Gebiet,7.453887,51.354904,43,False,-9.330400000000001
14,Köln-Chorweiler,Köln,Stickstoffdioxid,µg/m³,25.9647,24.9865,Hintergrund,städtisches Gebiet,6.884636,51.019345,14,False,-0.9782000000000011
1,Lünen-Niederaden,Lünen,Stickstoffdioxid,µg/m³,27.438,24.3654,Hintergrund,vorstädtisches Gebiet,7.569838,51.592206,1,False,-3.0725999999999978
36,Wuppertal-Langerfeld,Wuppertal,Stickstoffdioxid,µg/m³,24.4538,24.1663,Hintergrund,städtisches Gebiet,7.231895,51.277647,36,False,-0.2875000000000014
26,Solingen-Wald,Solingen,Stickstoffdioxid,µg/m³,22.0995,22.5589,Hintergrund,vorstädtisches Gebiet,7.052634,51.183773,26,False,0.45940000000000225
21,Bielefeld-Ost,Bielefeld,Stickstoffdioxid,µg/m³,22.09,22.4147,Hintergrund,städtisches Gebiet,8.548389,52.023169,21,False,0.3247
32,Mönchengladbach Düsseldorfer Straße,Mönchengladbach,Stickstoffdioxid,µg/m³,22.7851,22.0625,Verkehr,städtisches Gebiet,6.458842,51.169967,32,False,-0.7225999999999999
